city,address,postalCode,latitude,longitude,features,hasArtwork,storeName,storeNumber,closeTime,openTime
天津市,空港经济区新燕莎奥特莱斯一层A8-108号单元环河北路98号,300000,39.161275,117.396709,"['OG', 'DL', 'MIC', 'NCB']",False,天津新燕莎奥特莱斯店,27865-248447,20:00:00,09:00:00
天津市,东丽区欧贸中心一层空港经济区中心大道与东四道交口,300000,39.149399,117.397147,"['OG', 'DL', 'PO']",False,天津欧贸中心咖啡店,50545-275405,20:00:00,08:00:00
天津市,空港经济开发区SM城市广场一层D栋D1026单元环河北路168号,300000,39.158285,117.41739,"['OG', 'DL', 'MIC', 'PO']",False,天津SM城市广场店,47172-255304,21:00:00,10:00:00
保定市,保定市容城县白塔村东侧，奥威东路北侧雄安市民服务中心内企业办公区域零售商区的H4号楼,071000,39.05088,115.912544,"['OG', 'MIC', 'NCB', 'PO', 'SBB']",False,保定雄安市民服务中心店,56219-290141,20:30:00,09:30:00
天津市,天津市滨海新区None天津市滨海新区远洋中心路89号地上一层,300000,39.030288,117.602285,"['OG', 'DL', 'PO']",False,天津滨海远洋未来汇店,50519-275006,21:30:00,09:30:00
宁德市,东侨经济开发区A区1号楼地上一层闽东中路32号联信财富广场,352000,26.665113,119.5489,['OG'],False,宁德闽东中路店,48799-265073,22:30:00,08:30:00
宁德市,蕉城区宝信城市广场25幢L1层101单元闽东中路2号,352000,26.652688,119.537638,"['OG', 'MIC', 'PO']",False,宁德宝信城市广场店,48795-265074,23:00:00,08:30:00
宁德市,福建省宁德市福安市福安东百城地上一层1FNone-50铺位,352000,27.08043,119.634032,"['OG', 'MIC', 'PO']",False,宁德福安东百城分店,60084-294329,23:00:00,08:00:00
福州市,连江县万星商业广场一层3117-3118,350000,26.211963,119.549747,"['OG', 'MIC', 'PO']",False,福州连江万星广场分店,57486-291614,22:00:00,08:00:00
福州市,晋安区泰禾城市广场地上第一层的 L-110 单元坂中路6号,350000,26.139811,119.323701,"['OG', 'DL', 'MIC']",False,福州泰禾广场分店,19592-200224,22:30:00,07:30:00
福州市,福州站候车层HC-10号铺位,350000,26.113391,119.320032,"['OG', 'MIC']",False,福州北站分店,56836-290825,21:00:00,06:00:00
福州市,晋安区地上第1层L125-2单元东二环泰禾城市广场二期,350000,26.0897,119.33854,"['OG', 'DL', 'MIC']",False,福州东二环泰禾三店,52936-283312,22:30:00,08:00:00
福州市,晋安区东二环泰禾广场17号楼地下一层峰镇竹屿路 6 号,350000,26.089856,119.337043,"['OG', 'BE', 'NCB', 'RC']",False,福州东二环泰禾广场店,27780-243164,23:00:00,07:30:00
福州市,晋安区东二环泰禾广场中心地上三层L320-2岳峰镇竹屿路6号,350000,26.089762,119.335811,"['OG', 'DL', 'PO']",False,福州东二环泰禾广场二店,28909-246586,22:00:00,10:00:00
福州市,福建省福州市鼓楼区温泉街道五四路149号None骏建大厦一楼,350000,26.097258,119.307699,"['OG', 'BE', 'DL', 'MIC', 'RC', 'SBB']",False,福州五四路分店,59743-294042,22:00:00,07:30:00
福州市,鼓楼区恒力城王府井百货第一层五四路126号,350000,26.09112,119.305746,"['OG', 'DL', 'MIC', 'NCB']",False,福州恒力城分店,17177-173924,23:00:00,07:00:00
福州市,鼓楼区大洋百货一楼1F-A09/A10单元八一七北路133号,350000,26.084575,119.300599,"['OG', 'DL', 'MIC']",False,福州大洋百货分店,48998-266305,22:00:00,08:00:00
福州市,鼓楼区None南后街101号,350000,26.084456,119.296561,"['OG', 'MIC', 'NCB', 'PO', 'SBB']",False,福州三坊七巷店,18038-155844,23:30:00,07:30:00
福州市,福州市鼓楼区八一七北路150号三坊七巷南街商业中心C区22、23、24、25铺位,350000,26.083247,119.299657,"['OG', 'BE', 'DL', 'MIC', 'RC', 'SBB']",False,福州东百中心分店,55930-289802,22:30:00,08:00:00
福州市,鼓楼区正祥商务中心地上一层N103单元五一北路157号,350000,26.077755,119.310833,"['OG', 'DL', 'MIC', 'NCB', 'PO']",False,福州正祥中心店,24829-238986,22:30:00,07:00:00
福州市,福州市福州世欧广场地上一层的A3-1-32 和A3-1-33 单元晋安区晋连路18号,350000,26.070981,119.327165,"['OG', 'DL', 'MIC', 'NCB', 'RC']",False,福州世欧广场分店,25037-226545,23:00:00,07:30:00
福州市,鼓楼区乌山南入口广场东侧店面乌山路,350000,26.075599,119.299337,"['OG', 'DL', 'MIC', 'NCB', 'PO', 'SBB']",False,福州乌山店,17129-178707,22:30:00,07:30:00
福州市,福州市闽侯县甘蔗街道昙石山大道136号闽135、136单元侯万家广场3栋地上一层第132、133、,350000,26.145355,119.138188,"['OG', 'DL', 'PO']",False,福州闽侯万家广场分店,58434-292621,22:30:00,09:00:00
